Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score,Generos,Plataformas,Empresa,Titulos
Hanayori Danshi: Koi Seyo Onago,DS,2008,Adventure,Konami Digital Entertainment,0,0,40000,45,1,4,254,2977
Frantix,PSP,2005,Puzzle,Ubisoft,80000,0,0,57,5,18,474,2516
Monster Guardians,GBA,2001,Role-Playing,Konami Digital Entertainment,0,0,30000,68,7,6,254,4612
Professional Fisherman's Tour: Northern Hemisphere,DS,2007,Sports,505 Games,160000,0,0,88,10,4,6,5756
Pok̩mon Stadium 2,N64,2000,Strategy,Nintendo,1020000,360000,1130000,41,11,10,329,5615
NCAA Football 10,PSP,2009,Sports,Electronic Arts,190000,0,0,45,10,18,131,4926
The History Channel: Battle for the Pacific,X360,2007,Shooter,Activision,50000,0,0,63,8,27,21,7520
Mugen Keitai Disgaea,PS2,2007,Role-Playing,Tecmo Koei,0,0,90000,71,7,15,452,4735
Battle of Giants: Dinosaurs Strike,Wii,2010,Strategy,Ubisoft,140000,30000,0,45,11,25,474,562
Pro Evolution Soccer 2010,PS2,2009,Sports,Konami Digital Entertainment,100000,180000,120000,95,10,15,254,5725
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1610000,2000000,150000,51,8,17,21,951
Crayola: Colorful Journey,Wii,2009,Misc,Crave Entertainment,70000,0,0,44,3,25,96,1292
Razor Freestyle Scooter,GBA,2001,Sports,Ubisoft,10000,0,0,62,10,6,474,5937
Minna to Kimi no Piramekino!,DS,2010,Misc,Namco Bandai Games,0,0,50000,97,3,4,317,4536
DokuSui: DokiDoki Suikoden,PSP,2011,Role-Playing,Irem Software Engineering,0,0,10000,70,7,18,235,1752
The Eye of Judgment,PS3,2007,Misc,Sony Computer Entertainment,280000,0,20000,58,3,16,414,7486
Battle Stadium D.O.N,GC,2006,Fighting,Namco Bandai Games,0,0,90000,69,2,7,317,558
Dora the Explorer: Dora Saves the Crystal Kingdom,Wii,2009,Misc,Take-Two Interactive,240000,0,0,74,3,25,448,1787
Hakuouki: Bakumatsu Musou Roku,PSP,2012,Action,Idea Factory,0,0,50000,63,0,18,215,2943
Doom,PS,1994,Shooter,Infogrames,430000,300000,0,43,8,14,226,1780
Master Jin Jin's IQ Challenge,DS,2006,Misc,505 Games,130000,0,0,76,3,4,6,4300
Spider-Man 2,GC,2004,Action,Activision,650000,170000,0,45,0,7,21,6836
"What Did I Do to Deserve This, My Lord!? 2",PSP,2008,Role-Playing,Nippon Ichi Software,60000,0,180000,62,7,18,332,8376
Swingerz Golf,GC,2002,Sports,Eidos Interactive,60000,20000,0,87,10,7,130,7226
Supremacy MMA,PS3,2011,Fighting,505 Games,70000,30000,0,57,2,16,6,7211
Kinect Star Wars,X360,2012,Action,Microsoft Game Studios,1050000,520000,30000,52,0,27,296,3756
Lise no Atelier: Ordre no Renkinjutsushi,DS,2007,Role-Playing,Gust,0,0,40000,97,7,4,196,3975
Rygar: The Battle of Argus,Wii,2008,Action,Rising Star Games,90000,0,0,40,0,25,391,6207
Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1070000,1310000,60000,57,0,17,474,381
Grand Theft Auto: Chinatown Wars,PSP,2009,Action,Take-Two Interactive,280000,490000,30000,87,0,18,448,2822
Sitting Ducks,PS2,2003,Platform,LSP Games,30000,20000,0,76,4,15,256,6663
Evil Dead: Fistfull of Boomstick,XB,2003,Action,THQ,70000,20000,0,48,0,28,442,2148
Turning Point: Fall of Liberty,PS3,2008,Shooter,Codemasters,210000,10000,0,81,8,16,88,8057
WWE 2K14,PS3,2013,Sports,Take-Two Interactive,490000,460000,0,47,10,16,448,8273
Luxor: The Wrath of Set,PSP,2006,Puzzle,Mumbo Jumbo,20000,0,0,67,5,18,310,4070
Jikkyou Powerful Pro Yakyuu 15,PS2,2008,Sports,Konami Digital Entertainment,0,0,240000,79,10,15,254,3496
Spyro Orange: The Cortex Conspiracy,GBA,2004,Action,Vivendi Games,410000,150000,0,83,0,6,492,6890
The Chronicles of Riddick: Assault on Dark Athena,PC,2009,Shooter,Vivendi Games,0,10000,0,75,8,13,492,7461
Driven,GBA,2001,Racing,BAM! Entertainment,20000,10000,0,42,6,6,58,1951
NHL 13,PS3,2012,Sports,Electronic Arts,330000,210000,0,77,10,16,131,4990
Jak II,PS2,2003,Platform,Sony Computer Entertainment,1680000,740000,0,94,4,15,414,3405
Genkai Tokki: Seven Pirates,PSV,2016,Role-Playing,Compile Heart,0,0,30000,93,7,19,93,2684
Ride,XOne,2015,Racing,Milestone S.r.l.,40000,50000,0,47,6,29,300,6040
My Word Coach,DS,2007,Misc,Ubisoft,370000,890000,0,78,3,4,474,4787
Burnout 2: Point of Impact,XB,2003,Racing,Acclaim Entertainment,180000,50000,0,90,6,28,17,865
Bakumatsu Koihana: Shinsengumi DS,DS,2008,Adventure,D3Publisher,0,0,10000,55,1,4,104,473
McFarlane's Evil Prophecy,PS2,2013,Action,Konami Digital Entertainment,30000,30000,0,45,0,15,254,4325
MLB 08: The Show,PS2,2008,Sports,Sony Computer Entertainment,350000,10000,0,46,10,15,414,4081
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.3,PS3,2015,Action,Namco Bandai Games,0,0,20000,60,0,16,317,7261
Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,1820000,1240000,470000,62,0,14,489,6011
Brunswick Circuit Pro Bowling 2,PS,2000,Sports,THQ,60000,40000,0,84,10,14,442,831
Polaris,2600,1982,Action,Tigervision,260000,20000,0,58,0,0,459,5620
Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,Playlogic Game Factory,60000,50000,0,85,8,15,369,178
Jewel Match 2,DS,2012,Puzzle,Easy Interactive,0,20000,0,80,5,4,127,3466
Quantum Theory,X360,2010,Shooter,Tecmo Koei,60000,20000,0,44,8,27,452,5821
Evolve,PC,2015,Shooter,Take-Two Interactive,80000,100000,0,74,8,13,448,2155
Sesame Street: Elmo's Number Journey,N64,1999,Misc,NewKidCo,150000,40000,0,81,3,10,325,6444
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2,DS,2006,Action,Sega,0,0,130000,52,0,4,406,3850
One Piece: Gigant Battle 2 Shin Sekai,DS,2011,Fighting,Namco Bandai Games,0,0,350000,71,2,4,317,5285
Resident Evil: The Mercenaries 3D,3DS,2011,Action,Capcom,160000,160000,130000,79,0,2,82,6022
Call of Duty 3,X360,2006,Shooter,Activision,1490000,920000,20000,62,8,27,21,943
Romance of the Three Kingdoms XI,PS2,2007,Strategy,Tecmo Koei,0,0,70000,74,11,15,452,6160
Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,Take-Two Interactive,490000,20000,0,58,4,25,448,1786
Onechanbara: Bikini Samurai Squad,X360,2006,Action,D3Publisher,110000,10000,0,63,0,27,104,5292
Captain America: Super Soldier,PS3,2011,Action,Sega,100000,60000,0,71,0,16,406,976
Medal of Honor: Warfighter,X360,2012,Action,Electronic Arts,590000,450000,10000,46,0,27,131,4347
Overlord II,X360,2009,Action,Codemasters,150000,140000,0,92,0,27,88,5346
MotorHead,PS,1998,Racing,Gremlin Interactive Ltd,20000,10000,0,56,6,14,192,4705
MotorStorm: Arctic Edge,PSP,2009,Racing,Sony Computer Entertainment,160000,570000,0,92,6,18,414,4709
Marvel: Ultimate Alliance,PSP,2006,Role-Playing,Activision,330000,0,0,47,7,18,21,4289
Dragon Ball Z: Supersonic Warriors,GBA,2004,Fighting,Atari,360000,130000,0,87,2,6,51,1857
Yourself Fitness,PS2,2005,Sports,responDESIGN,20000,20000,0,47,10,15,519,8652
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4470000,1200000,160000,99,4,8,406,6773
James Bond 007: Agent Under Fire,XB,2002,Shooter,Electronic Arts,650000,220000,0,50,8,28,131,3414
FIFA 14,3DS,2013,Sports,Electronic Arts,0,220000,0,97,10,2,131,2216
Sammy Sosa High Heat Baseball 2001,PS,2000,Sports,3DO,320000,220000,0,80,10,14,4,6306
Prince of Persia: The Forgotten Sands,Wii,2010,Action,Ubisoft,100000,110000,0,94,0,25,474,5704
Pop Cutie! Street Fashion Simulation,DS,2008,Simulation,Tecmo Koei,60000,0,0,94,9,4,452,5633
Hot Wheels: Beat That!,X360,2007,Racing,Activision,150000,0,0,41,6,27,21,3192
Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,970000,40000,0,87,6,15,448,4494
Sonic Unleashed,Wii,2008,Platform,Sega,1260000,670000,20000,78,4,25,406,6769
Playmobil Top Agents,DS,2010,Action,JoWood Productions,0,30000,0,54,0,4,240,5570
Jelly Belly: Ballistic Beans,Wii,2009,Puzzle,Zoo Digital Publishing,20000,0,0,43,5,25,509,3444
Shin Sangoku Musou: Multi Raid 2,PSP,2010,Action,Tecmo Koei,0,0,110000,72,0,18,452,6525
Castlevania: Order of Ecclesia,DS,2008,Platform,Konami Digital Entertainment,270000,20000,40000,94,4,4,254,1030
Aria: The Natural ~Tooi Yume no Mirage~,PS2,2006,Adventure,Alchemist,0,0,20000,95,1,15,30,328
Digger Simulator,PC,2011,Simulation,Excalibur Publishing,0,10000,0,46,9,13,145,1616
Dynasty Warriors: Gundam 2,PS2,2008,Action,Namco Bandai Games,40000,30000,250000,78,0,15,317,2024
Donkey Kong Barrel Blast,Wii,2007,Racing,Nintendo,190000,260000,110000,71,6,25,329,1763
DC Universe Online,PS3,2011,Role-Playing,Sony Online Entertainment,350000,110000,0,64,7,16,418,1354
MotionSports,X360,2010,Sports,Ubisoft,380000,250000,0,92,10,27,474,4683
Tenchi Muyou! Ryoukouki Gokuraku,SAT,1995,Adventure,Yumedia,0,0,60000,93,1,20,507,7378
Johnny Test,DS,2011,Platform,505 Games,60000,0,0,100,4,4,6,3548
Brothers in Arms: Furious 4,X360,2011,Shooter,Unknown,10000,0,0,72,8,27,478,826
Madden NFL 12,PS3,2011,Sports,Electronic Arts,1930000,150000,0,74,10,16,131,4148
NHL 2003,GC,2002,Sports,Electronic Arts,100000,30000,0,73,10,7,131,4997
Ratatouille,DS,2007,Action,THQ,490000,620000,0,86,0,4,442,5899
DICE: DNA Integrated Cybernetic Enterprises,PS2,2005,Shooter,Namco Bandai Games,10000,10000,0,83,8,15,317,1357
G-Force,PS3,2009,Action,Disney Interactive Studios,130000,60000,0,42,0,16,121,2586
Barnstorming,2600,1981,Action,Activision,400000,20000,0,95,0,0,21,510
The Lord of the Rings: Aragorn's Quest,Wii,2010,Action,Warner Bros. Interactive Entertainment,170000,50000,0,61,0,25,495,7618
MX 2002 Featuring Ricky Carmichael,XB,2001,Racing,THQ,100000,30000,0,73,6,28,442,4113
Puyo Puyo Sun Ketteiban,PS,1997,Puzzle,Compile,0,0,1070000,58,5,14,92,5802
Phantasy Star Universe,X360,2006,Role-Playing,Sega,90000,10000,0,79,7,27,406,5503
Bully: Scholarship Edition,Wii,2008,Action,Take-Two Interactive,170000,280000,0,84,0,25,448,857
Pachinko Wars II,SNES,1993,Misc,Coconuts Japan,0,0,50000,52,3,22,87,5393
Castlevania: Lords of Shadow 2,X360,2014,Action,Konami Digital Entertainment,20000,60000,0,54,0,27,254,1029
Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,PSV,2012,Action,Konami Digital Entertainment,0,0,40000,97,0,19,254,5329
Gex: Enter the Gecko,PS,1998,Platform,BMG Interactive Entertainment,320000,220000,0,92,4,14,59,2699
Virtua Tennis 4,X360,2011,Sports,Sega,110000,90000,10000,70,10,27,406,8231
Winter Sports 2: The Next Challenge,DS,2008,Sports,RTL,40000,20000,0,90,10,4,381,8441
Steins;Gate: Senkei Kousoku no Phonogram,PS3,2013,Adventure,5pb,0,0,60000,87,1,16,7,6994
Battlestations: Pacific,PC,2009,Strategy,Eidos Interactive,0,20000,0,92,11,13,130,586
Jikkyou Powerful Pro Yakyuu 15,Wii,2008,Sports,Konami Digital Entertainment,0,0,80000,90,10,25,254,3496
ESPN International Winter Sports 2002,PS2,2002,Sports,Konami Digital Entertainment,30000,20000,0,84,10,15,254,2044
Psi-Ops: The Mindgate Conspiracy,XB,2004,Shooter,Midway Games,130000,40000,0,56,8,28,298,5775
Yu-Gi-Oh! The Duelists of the Roses,PS2,2001,Misc,Konami Digital Entertainment,1160000,910000,0,77,3,15,254,8686
NBA Live 96,PS,1996,Sports,Electronic Arts,160000,110000,40000,91,10,14,131,4896
Goblin Commander: Unleash the Horde,XB,2003,Strategy,Jaleco,60000,20000,0,94,11,28,238,2745
The Incredible Hulk,Wii,2008,Action,Sega,280000,10000,0,58,0,25,406,7545
Mafia II,PS3,2010,Action,Take-Two Interactive,500000,690000,40000,48,0,16,448,4164
Kangokutou Mary Skelter,PSV,2016,Role-Playing,Compile Heart,0,0,30000,81,7,19,93,3645
Patapon 3,PSP,2011,Misc,Sony Computer Entertainment,50000,30000,170000,83,3,18,414,5429
Petz Rescue: Wildlife Vet,DS,2008,Simulation,Ubisoft,350000,0,0,98,9,4,474,5482
Super Robot Taisen MX,PS2,2004,Strategy,Banpresto,0,0,500000,87,11,15,61,7169
Skylanders: SuperChargers,XOne,2015,Action,Activision,170000,50000,0,44,0,29,21,6681
Brutal Legend,PS3,2009,Action,Electronic Arts,540000,270000,0,55,0,16,131,834
Barnyard,GC,2006,Action,THQ,90000,20000,0,44,0,7,442,511
The Fairly Odd Parents: Breakin' Da Rules,GBA,2003,Platform,THQ,390000,140000,0,98,4,6,442,7488
Murdered: Soul Suspect,X360,2014,Action,Square Enix,60000,30000,0,44,0,27,422,4744
The Idolmaster: Gravure For You! Vol. 3,PS3,2011,Misc,Namco Bandai Games,0,0,80000,51,3,16,317,7538
World Championship Poker: Featuring Howard Lederer - All In,PS2,2006,Misc,Oxygen Interactive,820000,640000,0,42,3,15,348,8484
R-Type Final,PS2,2003,Shooter,Metro 3D,90000,70000,0,85,8,15,291,5837
Chronicles of Mystery: The Secret Tree of Life,DS,2011,Adventure,City Interactive,30000,40000,0,59,1,4,85,1116
Nisenochigiri: Omoide no Saki e,PSP,2011,Adventure,Idea Factory,0,0,30000,47,1,18,215,5215
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5930000,2360000,130000,71,8,27,21,944
Grand Prix,2600,1981,Racing,Activision,450000,30000,0,45,6,0,21,2814
NHL 2004,XB,2003,Sports,Electronic Arts,130000,40000,0,41,10,28,131,4998
Margot's Word Brain,Wii,2008,Puzzle,Zoo Digital Publishing,120000,0,0,95,5,25,509,4227
Curious George,PS2,2006,Action,Namco Bandai Games,60000,50000,0,98,0,15,317,1339
Skylanders Giants,WiiU,2012,Action,Activision,220000,120000,0,55,0,26,21,6677
Tom Clancy's EndWar,PS3,2008,Strategy,Ubisoft,330000,220000,10000,72,11,16,474,7857
Doraemon: Nobita no Uchuu Eiyuuki,3DS,2015,Action,FuRyu,0,0,60000,71,0,2,158,1803
Himawari: Pebble in the Sky Portable,PSP,2010,Adventure,Kadokawa Shoten,0,0,10000,72,1,18,245,3127
Total War: Attila,PC,2015,Strategy,Sega,90000,130000,0,57,11,13,406,7943
NCAA GameBreaker 2000,PS,1999,Sports,989 Studios,220000,150000,0,88,10,14,10,4935
Star Wars Episode 1: Jedi Power Battles,PS,1999,Action,LucasArts,660000,480000,10000,97,0,14,264,6932
inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1280000,980000,70000,71,0,17,414,8771
Kimikare: New Semester,PSP,2012,Action,Idea Factory,0,0,20000,64,0,18,215,3753
Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi,PSP,2012,Action,Idea Factory,0,0,60000,45,0,18,215,2947
Skylanders: Trap Team,X360,2014,Action,Activision,540000,270000,0,69,0,27,21,6682
Nora to Koku no Koubou: Kiri no Mori no Majo,DS,2011,Role-Playing,Atlus,0,0,50000,55,7,4,53,5243
Mission: Impossible - Operation Surma,XB,2003,Platform,Atari,100000,30000,0,45,4,28,51,4544
Bolt,X360,2008,Adventure,Disney Interactive Studios,180000,50000,0,71,1,27,121,748
StokEd,X360,2009,Sports,Zushi Games,180000,10000,0,63,10,27,511,6999
Green Lantern: Rise of the Manhunters,DS,2011,Action,Warner Bros. Interactive Entertainment,70000,20000,0,75,0,4,495,2840
Ferrari Challenge Trofeo Pirelli,PS2,2008,Racing,System 3 Arcade Software,60000,50000,0,91,6,15,436,2354
Hankou Shashin,SAT,1996,Adventure,Imagineer,0,0,30000,89,1,20,223,2984
UFO: Trilogy,PC,2007,Strategy,Unknown,0,20000,0,88,11,13,478,8090
Hoppechan: Tsukutte! Asonde! Punipuni Town!!,3DS,2013,Action,Nippon Columbia,0,0,150000,91,0,2,331,3166
EA Sports MMA,PS3,2010,Fighting,Electronic Arts,160000,140000,10000,97,2,16,131,2036
Spanish for Everyone!,DS,2007,Puzzle,Activision,20000,0,0,52,5,4,21,6819
Kenka Banchou Portable,PSP,2009,Action,Spike,0,0,10000,68,0,18,420,3703
Steins;Gate 0,PS3,2015,Adventure,5pb,0,0,30000,93,1,16,7,6992
The Sims: Bustin' Out,GBA,2003,Simulation,Electronic Arts,930000,350000,0,66,9,6,131,7699
Major League Baseball 2K8,X360,2008,Sports,Bethesda Softworks,560000,0,0,98,10,27,64,4199
Unreal Anthology,PC,2006,Shooter,Midway Games,0,20000,0,55,8,13,298,8137
Venetica,PC,2009,Role-Playing,DTP Entertainment,0,40000,0,71,7,13,107,8200
Naruto: Ninja Destiny,DS,2006,Fighting,Namco Bandai Games,20000,10000,160000,49,2,4,317,5085
Style Book: Junior City,DS,2006,Misc,Namco Bandai Games,0,0,20000,91,3,4,317,7045
Samurai Warriors Chronicles 3,3DS,2014,Action,Tecmo Koei,0,0,80000,41,0,2,452,6326
Kono Aozora ni Yakusoku o: Tenohira no Rakuen,PSP,2009,Adventure,TGL,0,0,10000,91,1,18,441,3843
Goldeneye 007: Reloaded,PS3,2011,Shooter,Activision,330000,330000,0,52,8,16,21,2789
Buzz! Brain of the UK,PS3,2009,Misc,Sony Computer Entertainment,0,150000,0,92,3,16,414,888
Dawn of Discovery,PC,2009,Simulation,Ubisoft,0,320000,0,56,9,13,474,1465
Darksiders II,XOne,2015,Action,Nordic Games,40000,20000,0,79,0,29,337,1451
Cross + Channel,PSP,2010,Adventure,CyberFront,0,0,20000,94,1,18,102,1317
Robert Ludlum's The Bourne Conspiracy,PS3,2002,Action,Vivendi Games,180000,140000,0,46,0,16,492,6093
Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,440000,460000,0,60,2,25,464,5080
Casper's Scare School: Classroom Capers,DS,2008,Adventure,Blast! Entertainment Ltd,20000,0,0,70,1,4,70,1013
Dragon's Dogma,X360,2012,Role-Playing,Capcom,420000,230000,70000,68,7,27,82,1907
Final Fantasy Type-0,XOne,2015,Role-Playing,Square Enix,160000,70000,0,96,7,29,422,2400
World Series of Poker,PS2,2005,Misc,Activision,390000,10000,0,100,3,15,21,8500
Driver '76,PSP,2007,Racing,Ubisoft,30000,140000,0,96,6,18,474,1952
NHL 2K10,Wii,2009,Sports,Take-Two Interactive,320000,10000,0,41,10,25,448,5000
MX vs. ATV Reflex,PSP,2009,Racing,THQ,180000,30000,0,54,6,18,442,4117
Create,PS3,2010,Action,Electronic Arts,110000,30000,0,56,0,16,131,1305
Macross ? Scramble,PSV,2016,Action,Namco Bandai Games,0,0,40000,97,0,19,317,4132
NASCAR 09,PS2,2008,Racing,Electronic Arts,260000,200000,0,61,6,15,131,4824
Tak 2: The Staff of Dreams,XB,2004,Platform,THQ,100000,30000,0,46,4,28,442,7302
Bakugan Battle Brawlers: Defenders of the Core,PSP,2010,Action,Activision,90000,40000,0,82,0,18,21,470
Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,750000,440000,0,70,4,14,168,5262
Kotoba no Puzzle: Mojipittan DS,DS,2007,Puzzle,Namco Bandai Games,0,0,370000,79,5,4,317,3846
Spider-Man 3,PS3,2007,Platform,Activision,260000,290000,20000,45,4,16,21,6838
Koisuru Otome to Shugo no Tate: The Shield of AIGIS,PS2,2008,Adventure,Alchemist,0,0,20000,45,1,15,30,3831
Dragon Age: Origins,X360,2009,Role-Playing,Electronic Arts,1760000,550000,30000,61,7,27,131,1830
G.I. Joe: The Rise of Cobra,PS3,2009,Action,Electronic Arts,110000,70000,0,56,0,16,131,2588
Field & Stream: Total Outdoorsman Challenge,X360,2010,Sports,505 Games,90000,0,0,51,10,27,6,2358
Transformers: Beast Wars Transmetals,PS,2000,Fighting,BAM! Entertainment,60000,40000,0,65,2,14,58,7987
Spice World,PS,1998,Action,Sony Computer Entertainment,370000,250000,0,60,0,14,414,6834
Batman: A Telltale Game Series,PS3,2016,Adventure,Telltale Games,10000,40000,0,82,1,16,454,532
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui,PSP,2008,Strategy,Namco Bandai Games,0,0,160000,66,11,18,317,3724
Destiny: The Collection,XOne,2016,Shooter,Activision,50000,60000,0,94,8,29,21,1571
Dungeon Siege III,PC,2011,Role-Playing,Square Enix,80000,80000,0,98,7,13,422,1988
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008,Action,THQ,520000,0,0,42,0,4,442,6858
Ride 2,XOne,2016,Racing,Milestone S.r.l,0,10000,0,61,6,29,299,6041
Rodea the Sky Soldier,WiiU,2015,Action,Nippon Ichi Software,80000,20000,10000,98,0,26,332,6138
Board Game: Top Shop,PS,1999,Misc,Success,10000,10000,0,94,3,14,429,734
Pro Evolution Soccer 2008,PSP,2008,Sports,Konami Digital Entertainment,20000,530000,190000,77,10,18,254,5723
NatGeo Challenge! Wild Life,Wii,2010,Misc,Black Bean Games,30000,0,0,79,3,25,68,5093
Build-A-Bear Workshop: A Friend Fur All Seasons,Wii,2008,Simulation,Game Factory,330000,0,0,94,9,25,172,846
Star Wars The Clone Wars: Republic Heroes,PSP,2009,Action,LucasArts,210000,120000,0,89,0,18,264,6947
Battle of Giants: Dinosaurs,DS,2008,Strategy,Ubisoft,370000,350000,0,56,11,4,474,561
Fur Fighters: Viggo's Revenge,PS2,2001,Action,Acclaim Entertainment,70000,50000,0,42,0,15,17,2572
Bully,PS2,2006,Action,Take-Two Interactive,750000,30000,40000,66,0,15,448,856
Mr. Driller,PS,1999,Puzzle,Namco Bandai Games,20000,10000,0,67,5,14,317,4725
Rival Schools: United By Fate,PS,1998,Fighting,Capcom,120000,80000,280000,70,2,14,82,6068
AMF Bowling Pinbusters!,DS,2008,Sports,Vir2L Studios,60000,0,0,81,10,4,488,93
LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,220000,150000,0,77,0,29,495,3884
Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,80000,110000,620000,81,7,18,406,5502
Just Dance 2017,XOne,2016,Misc,Ubisoft,30000,0,0,59,3,29,474,3588
Professor Layton and the Mask of Miracle,3DS,2011,Puzzle,Nintendo,320000,970000,360000,79,5,2,329,5760
Pengo,2600,1983,Adventure,Atari,380000,20000,0,81,1,0,51,5443
Pac-Man and the Ghostly Adventures 2,PS3,2014,Adventure,Namco Bandai Games,50000,30000,0,42,1,16,317,5381
Luminous Arc 2 (JP sales),DS,2005,Role-Playing,Unknown,0,0,100000,88,7,4,478,4050
Need for Speed: Nitro,Wii,2009,Racing,Electronic Arts,450000,300000,0,56,6,25,131,5122
River King: Mystic Valley (US sales),DS,2007,Sports,Rising Star Games,70000,0,0,58,10,4,391,6073
Godzilla Unleashed: Double Smash,DS,2007,Action,Atari,110000,0,0,57,0,4,51,2766
Ken to Mahou to Gakuen Mono. 3,PSP,2010,Role-Playing,Acquire,0,0,130000,100,7,18,20,3695
Kessen II,PS2,2001,Strategy,THQ,130000,100000,200000,53,11,15,442,3709
Doko Demo Issho,PSP,2004,Misc,Sony Computer Entertainment,0,0,100000,43,3,18,414,1750
Far Cry 4,PS3,2014,Shooter,Ubisoft,340000,680000,80000,52,8,16,474,2310
Invizimals: The Alliance,PSV,2013,Action,Sony Computer Entertainment,0,60000,0,43,0,19,414,3357
Mother 3,GBA,2006,Role-Playing,Nintendo,0,0,390000,58,7,6,329,4681
Rock Blast,DS,2008,Puzzle,UFO Interactive,60000,0,0,86,5,4,473,6121
The Legend of Legacy,3DS,2015,Role-Playing,FuRyu,120000,10000,100000,82,7,2,158,7593
Dynasty Warriors 7: Xtreme Legends,PS3,2011,Action,Tecmo Koei,40000,40000,160000,71,0,16,452,2014
Dream C Club: GoGo,PS3,2014,Adventure,D3Publisher,0,0,20000,57,1,16,104,1927
Cook Wars,Wii,2009,Misc,Ubisoft,30000,0,0,68,3,25,474,1246
Dead Space,PC,2008,Action,Electronic Arts,0,530000,0,45,0,13,131,1480
In the Hunt,PS,1995,Shooter,THQ,30000,20000,70000,64,8,14,442,3305
Stubbs the Zombie in Rebel Without a Pulse,XB,2005,Action,THQ,80000,20000,0,91,0,28,442,7041
Painkiller,PC,2004,Shooter,DreamCatcher Interactive,0,20000,0,67,8,13,123,5397
Rugby World Cup 2015,XOne,2015,Sports,Ubisoft,0,20000,0,100,10,29,474,6192
Monster Hunter Frontier Online: Season 10,X360,2011,Role-Playing,Capcom,0,0,30000,63,7,27,82,4627
Your Shape featuring Jenny McCarthy,Wii,2009,Sports,Ubisoft,1490000,460000,0,58,10,25,474,8649
Sentou Kokka Air Land Battle,PS,1995,Strategy,Sony Computer Entertainment,0,0,130000,94,11,14,414,6436
Cars 2,Wii,2011,Racing,Disney Interactive Studios,430000,370000,0,88,6,25,121,998
Mazes of Fate DS,DS,2008,Role-Playing,Graffiti,40000,0,0,59,7,4,189,4324
Saigo no Yakusoku no Monogatari,PSP,2011,Role-Playing,Unknown,0,0,110000,62,7,18,478,6274
Indigo Prophecy,PS2,2005,Adventure,Atari,70000,60000,0,73,1,15,51,3316
Mario Paint,SNES,1992,Misc,Nintendo,1430000,540000,710000,63,3,22,329,4247
Dr. Slump & Arale-Chan,DS,2008,Adventure,Namco Bandai Games,0,0,10000,87,1,4,317,1824
Senran Kagura: Sh?jo-tachi no Shinei,3DS,2011,Action,Marvelous Interactive,0,0,160000,75,0,2,277,6432
Ninja Gaiden 3,X360,2012,Action,Tecmo Koei,160000,50000,30000,78,0,27,452,5200
DokiDoki Majo Shinpan! 2,DS,2008,Adventure,SNK Playmore,0,0,30000,48,1,4,399,1749
Fear Effect 2: Retro Helix,PS,2001,Action,Eidos Interactive,100000,70000,0,43,0,14,130,2350
NBA 2K8,PS3,2007,Sports,Take-Two Interactive,500000,10000,0,92,10,16,448,4859
Intelligent Qube,PS,1997,Puzzle,Sony Computer Entertainment,130000,70000,1000000,70,5,14,414,3333
Crash of the Titans,PSP,2007,Action,Vivendi Games,250000,240000,0,73,0,18,492,1289
ThunderStrike 2,PS,1994,Simulation,Core Design Ltd.,100000,70000,0,62,9,14,95,7774
Pressure Cooker,2600,1982,Action,Activision,140000,10000,0,100,0,0,21,5692
Backyard NFL Football '09,PS2,2008,Sports,Atari,80000,70000,0,75,10,15,51,455
Shrek SuperSlam,DS,2005,Action,Activision,170000,0,0,82,0,4,21,6577
Mario Party: Island Tour,3DS,2013,Misc,Nintendo,620000,640000,550000,68,3,2,329,4257
Dragon Ball: Origins,DS,2008,Action,Atari,80000,20000,0,61,0,4,51,1866
Batman: A Telltale Game Series,X360,2016,Adventure,Telltale Games,10000,20000,0,85,1,27,454,532
Urakata Hakuoki,PSP,2013,Adventure,Idea Factory,0,0,20000,86,1,18,215,8150
Sonic & Sega All-Stars Racing,DS,2010,Racing,Sega,430000,500000,0,65,6,4,406,6742
SimAnimals,DS,2009,Simulation,Electronic Arts,260000,200000,0,88,9,4,131,6614
NCAA Football 2005,XB,2004,Sports,Electronic Arts,630000,20000,0,57,10,28,131,4933
