Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Critic_Score,Generos,Plataformas,Empresa,Titulos
2005,80000,20000,0,91,0,28,442,7041
2004,0,20000,0,67,8,13,123,5397
2015,0,20000,0,100,10,29,474,6192
2011,0,0,30000,63,7,27,82,4627
2009,1490000,460000,0,58,10,25,474,8649
1995,0,0,130000,94,11,14,414,6436
2011,430000,370000,0,88,6,25,121,998
2008,40000,0,0,59,7,4,189,4324
2011,0,0,110000,62,7,18,478,6274
2005,70000,60000,0,73,1,15,51,3316
1992,1430000,540000,710000,63,3,22,329,4247
2008,0,0,10000,87,1,4,317,1824
2011,0,0,160000,75,0,2,277,6432
2012,160000,50000,30000,78,0,27,452,5200
2008,0,0,30000,48,1,4,399,1749
2001,100000,70000,0,43,0,14,130,2350
2007,500000,10000,0,92,10,16,448,4859
1997,130000,70000,1000000,70,5,14,414,3333
2007,250000,240000,0,73,0,18,492,1289
1994,100000,70000,0,62,9,14,95,7774
1982,140000,10000,0,100,0,0,21,5692
2008,80000,70000,0,75,10,15,51,455
2005,170000,0,0,82,0,4,21,6577
2013,620000,640000,550000,68,3,2,329,4257
2008,80000,20000,0,61,0,4,51,1866
2016,10000,20000,0,85,1,27,454,532
2013,0,0,20000,86,1,18,215,8150
2010,430000,500000,0,65,6,4,406,6742
2009,260000,200000,0,88,9,4,131,6614
2004,630000,20000,0,57,10,28,131,4933
2015,0,0,30000,46,1,19,441,5418
2004,960000,1080000,40000,51,0,15,442,7548
1988,100000,0,1080000,40,10,11,317,5747
2007,300000,30000,250000,44,1,4,82,5515
2011,0,20000,0,48,5,13,55,423
2010,0,0,120000,47,11,4,317,7185
2003,350000,270000,0,63,2,15,406,8219
2002,50000,10000,0,96,10,7,406,4916
2012,370000,0,0,48,0,16,131,4299
1988,0,0,760000,44,7,11,423,2389
2007,0,0,110000,88,10,15,254,4097
2002,30000,10000,0,73,6,28,88,1198
2005,1350000,50000,0,63,10,15,131,4883
1989,910000,300000,420000,42,4,11,82,1702
2013,230000,120000,10000,94,4,26,406,6760
2001,400000,100000,90000,95,6,7,329,8357
2003,100000,30000,0,95,8,7,131,2520
2008,0,20000,0,42,8,13,131,3926
2005,50000,40000,0,74,0,15,414,2180
2008,10000,10000,0,60,0,13,21,9
2011,90000,60000,420000,80,8,16,406,8612
2001,70000,60000,0,41,0,15,493,2332
2006,1150000,360000,40000,54,0,7,329,7611
2010,120000,60000,210000,50,7,16,332,421
1992,0,0,970000,86,7,22,423,6161
2000,70000,50000,0,65,9,14,378,1204
2001,80000,60000,0,74,6,15,51,8198
2010,0,0,30000,95,11,25,317,6239
2010,40000,200000,0,40,3,4,167,3569
2002,90000,20000,0,64,10,28,406,5002
2011,40000,0,0,40,8,4,115,1975
2009,140000,90000,0,62,3,16,21,2894
2015,0,0,20000,92,1,19,276,5140
2015,170000,150000,20000,80,7,17,317,7320
2011,60000,0,0,58,5,4,96,6342
2007,3190000,910000,10000,93,3,27,21,2888
2004,10000,0,0,66,2,28,51,1623
2005,70000,0,110000,51,0,18,452,6329
2011,80000,60000,0,71,4,16,414,5568
2009,130000,10000,0,93,9,4,85,2319
2005,20000,10000,0,69,0,6,478,7105
2011,0,0,30000,93,1,16,317,7222
2013,830000,430000,0,60,0,29,296,6209
2009,120000,0,0,72,1,4,21,503
2002,150000,40000,0,60,10,28,131,4997
2006,810000,110000,0,91,8,18,414,6250
2014,10000,50000,0,54,2,27,317,1840
1996,0,0,310000,80,7,22,13,5851
2016,30000,50000,0,47,1,17,454,532
2006,10000,10000,0,41,0,15,96,640
2004,0,10000,0,58,1,13,265,7235
2009,2030000,1040000,580000,40,2,16,82,7021
2009,110000,10000,0,55,3,25,21,6358
2016,10000,30000,0,42,0,27,21,7364
2010,80000,0,0,80,3,4,442,323
2009,190000,200000,0,89,0,25,121,2586
2004,130000,40000,0,93,0,28,130,7761
2001,90000,70000,0,44,8,15,254,6609
2008,10000,0,0,42,10,4,117,2242
2007,120000,0,0,41,5,4,318,5814
2007,30000,0,0,71,10,18,414,4844
2001,30000,20000,0,86,10,15,254,8269
2006,0,0,170000,56,7,15,317,1
2006,130000,100000,0,72,0,15,474,260
1994,0,0,60000,96,1,20,432,4796
2011,90000,240000,30000,57,10,16,406,8231
2009,10000,0,0,52,6,4,272,5685
2007,110000,90000,0,58,1,15,121,1676
2013,0,0,20000,55,7,16,82,1994
2012,0,0,70000,51,7,18,317,7078
2005,80000,0,0,52,9,18,277,3028
2011,260000,190000,270000,41,0,25,329,5584
2009,0,0,150000,75,10,15,254,3500
2009,0,0,40000,66,0,18,420,8359
2001,140000,40000,0,52,8,28,254,176
2009,30000,0,0,91,5,4,511,3476
2008,190000,220000,0,64,0,16,474,4033
2005,100000,0,0,41,8,4,131,2788
2016,30000,0,50000,44,2,17,351,2879
2001,80000,50000,0,71,0,14,17,4294
2013,0,40000,0,50,0,2,495,3885
2006,810000,580000,10000,80,2,16,131,2366
2006,110000,10000,0,52,6,27,442,4690
2016,20000,0,0,92,9,2,318,3034
2007,0,0,20000,46,0,15,277,3681
2015,40000,20000,90000,42,0,19,277,6431
2016,240000,270000,90000,58,0,17,317,1872
2010,360000,430000,0,48,6,16,406,6742
2006,0,0,20000,72,1,15,245,966
2002,250000,200000,0,43,3,15,414,3436
1985,650000,140000,210000,46,8,11,82,29
2012,130000,30000,40000,50,9,27,317,340
2009,590000,200000,0,45,0,25,51,2707
2009,60000,30000,0,82,1,16,88,3945
2005,60000,50000,0,81,7,15,452,4203
2002,0,0,380000,44,11,15,317,4567
2001,3000000,1110000,50000,78,3,6,317,5032
2016,0,40000,0,53,6,17,299,6041
2011,0,0,160000,44,7,2,317,6226
2008,0,0,30000,68,9,15,254,599
2000,40000,30000,0,59,6,15,297,2605
2001,90000,70000,250000,69,9,15,317,4576
2007,110000,0,0,62,4,4,436,3303
2002,0,0,80000,91,1,15,254,7836
2012,60000,0,0,99,9,27,247,5649
2009,0,0,80000,56,3,15,317,7180
2001,4410000,1040000,1390000,55,2,7,329,7190
2005,50000,10000,0,82,3,7,298,4503
2004,800000,50000,760000,60,4,6,329,3790
2009,270000,0,0,67,9,4,474,3280
2005,160000,0,100000,79,5,4,317,5383
2010,240000,0,0,94,7,16,420,1828
2007,40000,170000,0,89,0,18,448,4219
1999,300000,60000,0,50,8,10,17,8062
2007,0,0,10000,57,10,15,452,2591
2011,0,50000,0,67,0,13,98,7452
2005,140000,0,0,88,5,4,6,789
2004,30000,0,110000,96,7,18,317,7583
2016,0,0,30000,60,0,2,317,7092
2014,50000,30000,60000,40,7,16,452,302
2014,150000,0,0,75,6,27,115,4819
2009,90000,330000,200000,52,10,18,254,5725
2002,550000,140000,0,54,4,7,477,6893
2008,70000,60000,0,54,10,15,64,4199
1991,0,0,290000,94,7,22,34,6237
1991,0,0,330000,55,11,22,317,3721
2010,450000,20000,0,64,3,25,121,999
2002,320000,250000,0,86,6,15,474,4634
2001,780000,260000,0,72,6,28,131,7674
1998,750000,30000,0,92,10,10,329,4201
2015,0,80000,0,93,0,13,64,8467
2012,30000,0,0,48,0,2,283,1522
2016,10000,0,0,77,0,28,478,299
2007,620000,30000,0,44,10,27,131,6665
1989,10830000,2710000,4180000,47,4,5,329,7128
2009,280000,0,0,82,10,25,23,930
2006,230000,10000,0,44,0,27,131,7205
2015,0,0,20000,52,0,16,38,1816
2005,230000,180000,0,99,6,15,298,3876
2005,70000,50000,0,72,7,15,254,8658
2005,50000,20000,0,73,8,28,509,1211
2010,0,270000,0,82,10,18,406,2477
2007,0,0,40000,77,10,15,254,7393
2002,180000,70000,0,68,7,6,318,4333
2005,90000,30000,0,42,6,28,492,1286
2001,30000,20000,0,43,5,14,474,3331
2009,40000,0,0,72,0,18,104,400
2005,120000,0,0,68,0,4,492,6107
2007,220000,340000,0,100,6,27,442,3559
1997,60000,40000,0,50,8,14,168,4318
1998,110000,390000,0,43,10,10,131,2220
2013,0,0,20000,43,1,18,245,6080
2006,670000,40000,10000,81,0,27,474,7884
1997,200000,50000,0,100,6,10,342,4103
1996,2260000,1890000,1360000,53,2,14,414,7370
2006,30000,20000,0,89,8,15,130,1226
2012,0,60000,0,59,0,13,337,192
2004,20000,20000,0,96,10,15,414,2426
2013,0,0,30000,58,2,2,38,5130
2008,0,0,40000,87,1,15,102,23
2010,10000,0,0,51,0,16,442,1450
2008,40000,0,170000,65,1,4,51,1867
2002,370000,140000,0,74,10,6,21,7911
1998,370000,250000,0,51,10,14,131,7789
2009,70000,0,10000,97,7,18,195,4517
2008,1480000,280000,0,53,2,16,298,4671
2006,50000,10000,0,61,10,4,131,2223
2014,350000,1080000,30000,92,6,17,474,7468
2006,870000,970000,0,59,6,18,131,5114
1997,430000,290000,90000,100,6,14,226,5127
2004,800000,30000,0,86,3,15,367,8480
2014,50000,20000,20000,50,7,17,332,5101
2008,60000,10000,70000,61,9,27,474,341
2000,0,0,180000,56,10,3,406,6727
2008,390000,10000,0,95,3,27,121,1678
2008,470000,10000,0,73,0,4,495,2881
2008,200000,0,0,46,10,25,51,455
2007,90000,0,0,41,2,4,6,1825
2012,0,0,80000,52,1,18,20,188
2002,110000,90000,0,41,0,15,477,7665
2009,90000,10000,0,93,4,16,495,8379
1999,30000,10000,0,60,6,10,223,5879
2007,150000,10000,20000,75,0,27,317,2019
2010,20000,0,0,88,5,25,473,6121
2003,60000,20000,0,77,6,7,317,5843
2015,0,0,20000,61,0,19,452,263
2002,20000,10000,0,51,4,6,478,713
2009,110000,20000,0,86,10,27,448,5000
2007,420000,0,0,67,5,4,272,7641
2006,390000,100000,0,85,1,7,442,433
2008,0,0,10000,90,1,15,277,3574
2011,180000,140000,0,58,2,27,442,8277
1998,720000,170000,0,60,4,10,202,2731
2013,0,0,20000,92,1,18,215,6555
2014,0,0,50000,46,7,19,317,7113
2013,4100000,3630000,380000,55,8,16,21,950
2000,500000,180000,440000,82,10,5,329,4264
2014,60000,20000,80000,87,7,16,452,419
1999,620000,420000,690000,89,7,14,423,1118
2011,400000,70000,30000,94,7,27,478,8073
2002,10000,0,0,62,10,28,254,2046
2003,0,0,250000,97,10,6,254,5665
2014,30000,40000,0,89,1,29,152,6483
2005,930000,1940000,310000,94,2,15,317,7372
2011,0,80000,0,66,3,16,414,6982
2008,120000,20000,0,51,0,18,21,6846
2016,170000,130000,110000,75,0,2,329,3231
2014,580000,3020000,40000,84,10,16,131,2217
2015,2510000,1320000,10000,71,7,29,64,2262
2008,0,20000,0,83,1,13,107,4306
2011,5030000,4020000,2690000,87,6,2,329,4244
2003,10000,0,0,99,8,28,492,3556
1991,0,0,60000,85,0,5,254,7359
2005,40000,30000,0,56,4,15,414,7040
2016,0,0,80000,94,3,2,331,7066
2010,110000,40000,0,62,1,27,474,903
2014,130000,380000,0,98,0,17,495,3906
2000,310000,210000,0,55,6,14,131,4834
2000,0,0,100000,41,6,10,329,4486
2001,240000,90000,0,61,6,6,442,2600
2006,450000,660000,20000,80,6,25,131,5113
2006,280000,210000,0,74,3,15,131,2998
1997,0,10000,0,65,6,13,492,2815
1991,160000,30000,150000,89,5,11,210,757
2014,60000,10000,40000,44,2,16,332,8129
2007,340000,480000,20000,92,8,16,474,7861
2010,800000,400000,20000,97,2,16,442,8087
2012,100000,50000,40000,44,0,19,452,5201
2009,110000,0,0,97,3,27,96,5533
1987,140000,30000,1980000,95,10,11,329,8254
2007,0,0,10000,49,7,15,138,4174
2009,0,0,410000,57,3,25,210,4606
2008,240000,0,0,99,5,4,272,935
2006,20000,0,0,56,8,28,130,1226
2005,70000,20000,0,91,0,28,298,7716
2010,10000,150000,0,65,5,4,154,4806
2009,140000,0,0,53,0,4,21,6807
2003,170000,50000,0,84,8,28,131,2520
2005,270000,210000,0,54,0,15,131,529
1996,30000,20000,0,76,1,14,131,1329
2007,0,0,10000,66,11,15,229,5402
2010,100000,80000,0,51,3,27,317,738
2007,0,0,120000,57,3,4,317,8615
2006,200000,80000,0,64,7,6,254,8672
2010,110000,0,0,61,6,27,21,4635
2009,60000,40000,0,50,0,15,104,1258
2011,0,30000,0,42,6,13,68,6219
2003,540000,140000,0,73,10,7,21,7916
2015,0,30000,0,94,10,27,67,6185
2008,100000,0,0,82,2,25,217,7565
2009,160000,100000,0,75,3,27,21,2894
2001,0,0,320000,56,9,15,13,6381
2000,150000,120000,0,78,7,15,21,5319
2009,0,0,80000,79,10,25,254,3518
2002,1720000,1210000,0,65,9,13,131,7707
2006,620000,20000,0,75,10,15,131,4108
2008,0,10000,0,76,1,4,107,2088
2008,0,0,10000,69,1,15,277,8720
2007,0,0,10000,42,3,25,406,1799
2002,160000,110000,0,57,0,14,199,309
2000,40000,30000,0,86,8,14,51,1976
2010,60000,10000,0,48,10,4,474,6876
2008,0,10000,0,65,9,4,79,4775
1994,0,0,200000,71,8,20,406,8415
2009,4340000,1340000,60000,98,8,27,296,2955
1997,70000,2000000,20000,46,6,14,88,7256
2011,160000,30000,0,51,0,2,254,2532
2011,410000,0,0,42,10,25,131,4148
2008,50000,0,0,83,7,4,427,1743
2002,420000,320000,0,68,6,15,17,865
1996,490000,330000,0,45,8,14,81,6960
2013,270000,270000,0,59,4,2,121,2558
2009,130000,30000,0,89,0,16,21,3258
2001,80000,10000,0,76,0,27,495,2993
2009,20000,0,0,77,4,4,272,4274
2015,100000,90000,0,55,0,29,115,6284
2010,230000,90000,0,89,2,27,131,2036
2002,90000,70000,0,85,7,15,82,811
2009,360000,20000,0,72,2,4,442,4279
2010,170000,90000,0,88,4,25,104,615
2006,370000,110000,0,51,0,28,492,6353
1998,50000,10000,0,61,5,10,17,880
2000,20000,20000,0,62,9,14,254,1400
2007,570000,320000,90000,48,0,16,130,5201
2014,10000,10000,0,52,0,2,317,5672
2007,260000,10000,0,74,0,27,21,6841
2005,140000,40000,0,87,8,7,21,2899
2011,0,0,60000,88,0,2,30,5182
2015,40000,30000,0,87,7,29,152,1733
2008,50000,0,0,56,3,4,240,1957
2015,0,0,130000,80,0,2,317,7184
2005,40000,10000,0,88,6,28,509,250
2002,590000,460000,10000,73,10,15,406,4855
2004,0,0,360000,62,10,15,406,3381
2005,320000,250000,0,98,7,15,418,1057
2007,10000,0,20000,57,3,4,254,3835
2002,180000,140000,160000,91,0,15,254,4443
2012,40000,130000,0,87,1,16,416,3553
2011,190000,0,0,97,3,25,442,8645
2013,110000,80000,20000,89,4,16,416,5788
1998,50000,30000,0,71,6,14,455,8559
2003,20000,0,0,77,3,7,440,4739
2003,50000,10000,0,47,11,7,406,8547
2005,80000,20000,0,91,10,7,131,7779
2006,0,20000,0,60,8,13,131,574
1991,0,0,760000,74,7,5,423,2396
2002,40000,30000,0,54,7,15,445,4168
2013,0,40000,0,68,8,13,82,4027
2012,80000,0,0,41,9,4,478,1079
1999,0,0,200000,66,11,10,61,7158
2008,130000,760000,30000,50,10,27,254,5358
2010,50000,10000,0,81,1,4,85,1308
2011,0,0,200000,99,7,18,148,7585
2011,0,20000,0,72,3,27,373,5641
2003,350000,130000,0,74,9,7,131,7675
2013,90000,60000,0,91,1,14,226,231
2015,230000,50000,0,91,3,27,474,3587
2010,220000,10000,0,89,7,4,21,5451
2008,80000,0,110000,57,7,25,406,6556
2006,440000,20000,0,45,10,27,21,7914
2009,170000,0,0,100,1,25,474,8380
2009,50000,0,0,42,2,4,104,3638
2004,630000,160000,0,44,0,7,329,7599
2013,0,0,30000,74,11,2,452,6153
2013,0,10000,0,53,10,16,104,8055
2011,0,90000,0,70,10,18,406,2469
2015,30000,10000,40000,44,0,17,452,365
2006,40000,30000,0,83,6,15,64,3250
2003,30000,10000,0,98,4,6,298,3604
2016,40000,70000,10000,71,0,2,495,3944
1998,550000,170000,0,49,2,10,168,4665
2004,320000,120000,0,52,3,6,254,8671
2008,0,0,10000,77,5,25,209,750
2007,60000,0,0,92,2,25,172,3934
2009,0,20000,0,49,6,16,68,7210
2003,40000,10000,0,88,10,28,298,4961
2015,2610000,330000,0,47,8,29,296,2671
2010,70000,60000,0,86,8,25,321,2920
2010,0,20000,0,78,1,4,152,6201
2002,110000,30000,0,55,8,7,131,1491
2010,0,0,50000,53,1,18,14,4275
2015,0,0,20000,72,1,19,212,3626
2007,0,0,20000,79,6,18,181,8316
2012,0,0,100000,43,0,18,420,3699
2011,0,130000,0,78,6,13,88,1601
2004,50000,10000,0,51,9,28,448,8420
2013,70000,20000,100000,86,7,16,332,7744
2011,0,0,60000,49,1,4,317,4413
2012,0,0,90000,47,7,2,317,4021
1983,320000,20000,0,89,0,0,21,2557
2002,0,0,40000,81,7,6,317,3814
2000,50000,30000,0,45,4,14,489,7028
1996,60000,40000,0,86,10,14,489,5022
2009,0,10000,0,92,11,4,411,4513
1996,260000,160000,1460000,99,3,14,414,5365
2010,470000,400000,0,75,3,25,21,2895
2011,0,0,50000,88,11,25,317,6231
2008,0,10000,0,88,8,13,130,1234
2013,220000,130000,0,60,9,27,152,2324
2009,520000,160000,80000,75,0,16,475,5202
2010,80000,120000,0,63,10,27,406,8190
2011,60000,40000,0,88,0,27,247,7494
2007,0,0,60000,94,10,15,317,5751
2011,50000,90000,0,74,0,2,474,7432
2004,110000,30000,0,95,6,28,509,249
2011,30000,0,0,100,3,25,478,591
1995,0,0,120000,77,10,14,414,5043
2011,80000,50000,0,78,0,27,68,3862
2009,60000,300000,0,70,1,4,152,6486
2012,0,0,20000,62,0,18,104,1343
2009,70000,60000,0,73,8,15,21,3579
2003,230000,180000,0,57,6,15,88,1814
2002,100000,30000,0,50,3,28,440,6576
2000,0,0,830000,40,3,5,254,8670
1996,60000,40000,0,81,10,14,452,7351
2006,0,0,130000,48,0,15,61,6205
2010,0,0,120000,93,11,18,317,4208
2002,130000,40000,0,62,10,28,406,4954
2002,140000,40000,20000,46,6,28,406,1302
2011,160000,0,0,59,10,27,21,916
2012,900000,450000,540000,82,7,2,329,2429
2009,20000,0,0,69,8,13,21,7995
2000,370000,80000,140000,80,6,10,329,4485
2010,0,0,80000,82,10,4,317,5750
2007,30000,0,0,86,10,16,474,7215
1983,10000,0,2130000,56,3,11,329,4180
1999,60000,40000,0,96,3,14,298,310
1995,250000,170000,0,50,9,14,414,8333
2009,0,0,170000,48,7,4,422,6262
2008,70000,10000,0,71,5,25,457,6273
2005,110000,0,0,73,10,18,131,2221
2014,0,0,40000,61,7,19,317,7112
2011,80000,20000,0,81,3,16,131,2288
2002,440000,350000,0,65,10,15,131,7790
2011,0,0,60000,71,7,18,254,6433
1999,0,0,320000,73,10,3,406,8227
2014,0,0,20000,52,1,16,317,908
2001,40000,20000,0,66,9,6,254,3577
2002,560000,150000,0,82,8,7,131,3414
2003,140000,50000,0,95,9,6,474,3032
2014,0,0,80000,98,7,19,93,2685
2011,50000,30000,0,66,0,25,495,2840
2010,0,0,50000,42,1,18,414,8016
2003,340000,90000,20000,91,0,7,51,2118
2003,140000,110000,0,78,4,15,51,4544
2005,1220000,50000,0,87,9,13,131,7683
2005,10000,0,0,93,3,28,280,5785
2009,0,360000,0,63,3,25,337,1413
2004,110000,40000,100000,43,6,6,329,1150
2009,0,20000,0,41,6,13,394,27
2003,0,0,240000,54,7,15,61,7077
2008,1000000,160000,0,88,10,27,448,4860
2008,70000,10000,0,94,11,27,6,7212
2003,290000,80000,0,80,10,7,131,6256
2012,0,20000,0,44,0,4,261,3467
2005,2180000,1020000,30000,71,8,15,264,6949
2010,20000,0,0,79,9,25,115,3956
2006,760000,1090000,120000,87,2,18,414,5382
2013,0,0,20000,100,1,18,75,4410
2006,0,0,90000,57,7,4,447,5059
2008,0,0,10000,54,1,15,245,6354
2011,270000,100000,70000,79,2,16,332,712
2010,0,0,60000,40,0,18,317,2930
1992,1420000,510000,2100000,76,2,22,82,7018
2009,20000,20000,0,67,6,15,442,6566
2009,90000,0,0,83,10,25,21,642
2010,0,0,50000,90,1,18,14,1996
2014,50000,100000,0,66,1,27,263,3206
2011,0,130000,0,82,0,13,478,7402
2010,50000,130000,0,94,6,16,82,4693
2009,0,10000,0,73,10,13,254,5725
2014,80000,70000,0,57,0,29,422,4744
2009,70000,0,20000,68,3,4,11,3613
2012,0,0,60000,47,0,18,317,6206
1996,0,0,190000,48,10,22,140,3378
2005,130000,40000,0,63,4,28,406,6454
1999,30000,10000,0,60,11,10,226,8549
2010,0,0,40000,67,7,4,84,2577
2000,300000,200000,300000,61,7,14,96,8172
2008,110000,0,120000,50,7,4,391,431
2009,500000,0,0,49,9,4,474,5479
2014,0,0,50000,60,1,19,215,2942
2012,470000,0,0,45,10,27,448,4196
2002,70000,20000,0,91,3,28,298,1530
2000,180000,40000,0,54,5,10,317,4731
2009,150000,0,0,99,0,4,448,6054
2003,100000,40000,0,57,7,6,254,742
1998,70000,50000,0,53,8,14,297,7034
2007,40000,0,0,71,5,25,6,486
2010,0,0,30000,41,7,4,326,4220
2010,0,0,10000,68,2,15,399,3764
2004,20000,10000,0,77,8,6,509,5838
2004,170000,140000,0,50,10,15,187,5337
2007,360000,20000,70000,82,7,18,422,2390
2008,40000,0,0,78,0,25,452,6253
2015,10000,0,0,92,10,19,414,4088
2005,170000,60000,0,40,5,6,317,4732
1981,1360000,80000,0,61,4,0,90,1761
2010,0,20000,0,64,7,13,163,154
2002,90000,30000,0,70,10,6,131,4996
2007,1090000,30000,0,65,6,4,329,1610
2001,0,90000,0,50,11,13,179,7036
2003,180000,70000,170000,93,4,6,82,4401
2005,360000,10000,0,62,0,15,121,7460
2009,250000,220000,0,81,2,18,442,8285
2005,1210000,1560000,60000,82,4,4,406,6767
2012,120000,630000,50000,70,6,16,88,2200
2006,40000,0,20000,84,8,18,254,2801
2001,0,0,490000,42,3,15,210,4596
2011,120000,30000,0,72,3,25,131,2288
2014,110000,30000,0,40,3,29,121,2298
2011,250000,0,0,59,3,25,474,3592
2015,0,0,40000,45,0,19,317,8525
2007,80000,0,0,100,10,16,131,4943
2007,190000,10000,30000,75,9,27,6,338
2013,230000,120000,40000,61,7,2,391,3159
2010,2740000,1330000,120000,56,0,16,414,2757
2010,0,50000,0,55,5,25,340,1050
1999,220000,150000,0,45,6,14,131,6085
2001,180000,70000,0,42,3,6,298,4506
2008,0,0,30000,71,1,4,277,7847
2006,0,0,30000,85,9,15,254,5636
2006,40000,0,0,88,0,4,442,1429
2010,160000,0,0,45,1,4,442,2297
2012,0,0,30000,65,1,2,104,5301
2013,0,20000,0,88,0,16,21,2328
2004,0,0,430000,64,2,7,464,5082
2010,120000,50000,0,62,9,16,254,1417
2009,0,180000,0,84,3,16,414,6650
2016,0,70000,0,92,10,17,152,5721
2010,130000,70000,270000,66,7,18,422,7427
2007,0,0,30000,89,0,4,317,1175
2012,0,0,20000,46,0,18,102,6408
2012,820000,0,0,49,0,16,131,4929
2008,0,0,0,52,6,15,21,6224
2007,30000,0,0,82,1,4,442,1913
2000,120000,100000,0,45,10,15,448,7216
2010,0,20000,0,90,11,13,359,1222
2007,70000,0,60000,98,2,25,474,8204
2016,210000,70000,0,48,2,29,317,5072
2006,0,0,240000,91,3,15,406,3533
2005,0,0,110000,91,10,15,254,3391
2010,0,0,80000,42,3,4,317,3620
2016,0,0,40000,70,3,16,452,5236
2010,1870000,550000,110000,74,0,16,474,386
2007,0,0,270000,76,3,4,329,4584
1996,260000,170000,0,81,10,14,414,5012
2002,30000,10000,0,50,3,6,217,5534
1988,470000,30000,0,81,8,0,21,6077
2006,40000,10000,0,76,10,28,131,4884
2009,620000,260000,0,85,0,27,131,834
2010,90000,0,10000,88,4,25,254,4032
2014,0,10000,0,64,0,13,21,7436
2011,0,0,80000,93,1,18,245,6079
1992,660000,170000,350000,60,4,22,82,7630
1996,30000,20000,0,64,2,14,17,3742
2005,90000,30000,620000,70,7,6,82,4376
2012,0,0,160000,61,3,2,329,1337
2008,80000,30000,0,93,8,16,51,3937
2004,130000,100000,0,72,2,15,217,3765
2009,0,0,40000,55,11,18,452,7296
2014,0,10000,0,94,0,13,254,4447
2003,0,0,170000,88,7,15,210,2315
1994,0,0,80000,63,9,20,131,7757
2012,90000,90000,10000,75,3,19,474,4048
2013,0,0,50000,89,0,2,317,8759
2014,0,0,20000,81,7,19,146,1539
2005,30000,0,0,84,7,13,314,2867
2008,380000,290000,150000,60,10,25,51,8370
2014,70000,260000,20000,40,6,16,88,2202
1996,0,0,410000,67,10,14,317,8519
2016,40000,60000,80000,91,7,19,422,8528
2008,250000,170000,10000,93,8,27,298,8142
2011,600000,470000,210000,83,7,16,317,5166
1998,0,0,250000,91,10,14,254,3487
2012,0,20000,0,90,1,16,389,977
2004,70000,50000,0,89,8,15,367,2919
2010,0,0,10000,58,3,18,122,6695
2002,100000,20000,40000,53,7,7,21,4023
2001,70000,50000,0,77,1,14,4,8344
2011,20000,0,0,82,0,27,254,1028
2002,0,0,240000,52,10,6,254,7395
2005,0,0,220000,43,4,4,329,8640
2007,500000,20000,0,100,10,15,448,4859
2004,620000,240000,0,43,7,28,21,8568
2012,0,10000,0,95,5,4,127,1340
2001,110000,40000,0,52,0,6,442,7743
1993,0,0,110000,67,10,22,485,1156
2008,0,0,60000,66,1,18,30,3115
2006,100000,30000,60000,79,7,18,182,7587
2016,30000,20000,0,42,2,29,317,5283
2016,50000,70000,0,76,10,16,448,8276
2002,30000,10000,0,55,8,6,21,1784
2008,530000,420000,10000,50,0,27,130,7896
2011,280000,120000,0,92,8,27,474,1093
2007,230000,580000,30000,72,10,16,406,8230
2007,0,0,10000,72,10,4,474,3270
2007,0,10000,0,40,7,13,51,5147
2003,260000,200000,0,60,0,15,130,3929
2003,480000,120000,0,88,3,7,317,5375
2005,710000,190000,310000,67,7,7,329,5609
2009,0,0,30000,92,0,4,447,3676
1997,0,0,230000,53,7,14,196,4228
2012,0,0,40000,91,0,18,317,2836
2014,0,10000,0,66,0,25,317,5446
2009,30000,0,0,90,3,4,115,402
2015,170000,130000,370000,68,0,17,422,1879
2010,0,0,200000,76,10,18,254,3501
1984,0,0,1450000,92,3,11,329,56
2002,190000,60000,0,98,10,28,17,223
2014,190000,90000,0,48,0,26,406,6751
2002,160000,120000,0,92,2,15,474,8105
2005,10000,0,0,61,5,6,453,8115
2005,250000,200000,0,58,10,15,131,6257
2010,410000,350000,30000,72,0,18,414,2759
2006,30000,0,0,77,6,18,414,4689
2000,510000,350000,0,77,0,14,131,10
2014,0,30000,0,77,0,13,66,3996
2008,40000,30000,0,47,3,15,317,5376
2010,110000,20000,0,83,0,27,21,3205
2008,250000,0,0,57,3,4,337,5942
2013,0,0,10000,56,0,2,317,4746
2003,40000,30000,0,49,3,15,27,6808
2005,250000,90000,0,91,3,6,509,6066
2012,30000,30000,0,48,8,16,317,3354
2009,0,0,160000,59,10,18,406,3382
2015,0,0,50000,73,1,19,36,7820
2010,670000,280000,10000,81,0,27,442,1450
2005,60000,20000,0,80,8,7,131,7809
2010,0,0,30000,90,1,18,104,3920
2011,0,20000,0,98,8,27,279,199
2012,0,60000,0,45,3,25,6,8756
2007,250000,190000,0,57,10,15,448,7439
1994,0,0,190000,87,11,22,317,6236
2004,320000,90000,0,60,10,28,187,2051
1998,190000,130000,0,69,0,14,414,7811
2006,20000,0,20000,41,3,18,254,4451
2009,20000,0,0,40,0,13,21,8571
2008,0,0,280000,93,0,15,317,2023
2008,0,0,70000,86,3,27,317,7534
2008,50000,0,0,88,9,4,290,301
2008,150000,20000,0,79,5,4,394,4186
2009,120000,0,0,44,10,25,442,216
2004,0,0,80000,47,0,6,210,2266
2010,60000,10000,200000,50,0,25,82,6418
2009,170000,20000,0,70,9,25,131,4792
2005,90000,30000,0,63,4,28,442,5781
2010,0,20000,60000,57,10,4,254,982
2010,130000,0,0,80,10,25,317,123
2012,20000,0,0,66,9,25,85,1209
2007,0,0,110000,69,9,25,317,4573
2009,0,260000,0,95,10,18,406,2476
